,links,id,objectNumber,title,hasImage,principalOrFirstMaker,longTitle,showImage,permitDownload,webImage,headerImage,productionPlaces
49,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-3262', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-3262'}",,SK-A-3262,Self-portrait,True,,,False,False,,,[]
50,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-5033', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-5033'}",,SK-A-5033,Portrait de Marten Soolmans,True,,,False,False,,,[]
51,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-C-1768', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-C-1768'}",,SK-C-1768,Portrait of Oopjen Coppit,True,,,False,False,,,[]
52,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-C-211', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-C-211'}",,SK-C-211,The Windmill at Wijk bij Duurstede,True,,,False,False,,,[]
53,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-1065', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-1065'}",,SK-A-1065,Piano Practice Interrupted,True,,,False,False,,,[]
54,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-2005', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-2005'}",,SK-A-2005,The First Day of School,True,,,False,False,,,[]
55,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-3011', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-3011'}",,SK-A-3011,Madonna of Humility,True,,,False,False,,,[]
56,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-4688', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-4688'}",,SK-A-4688,Italian Landscape with Umbrella Pines,True,,,False,False,,,[]
57,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-147', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-147'}",,SK-A-147,Portrait of Gerard Andriesz Bicker,True,,,False,False,,,[]
58,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-5002', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-5002'}",,SK-A-5002,The Square Man,True,,,False,False,,,[]
59,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-5003', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-5003'}",,SK-A-5003,View of the Golden Bend in the Herengracht,True,,,False,False,,,[]
60,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/NG-2010-40', 'web': 'https://www.rijksmuseum.nl/en/collection/NG-2010-40'}",,NG-2010-40,Five Javanese Court Officials,True,,,False,False,,,[]
61,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/NG-2010-38', 'web': 'https://www.rijksmuseum.nl/en/collection/NG-2010-38'}",,NG-2010-38,Five Javanese Court Officials,True,,,False,False,,,[]
62,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-5005', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-5005'}",,SK-A-5005,Girl in a Large Hat,True,,,False,False,,,[]
63,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/NG-2010-37', 'web': 'https://www.rijksmuseum.nl/en/collection/NG-2010-37'}",,NG-2010-37,Five Javanese Court Officials,True,,,False,False,,,[]
64,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/NG-2010-39', 'web': 'https://www.rijksmuseum.nl/en/collection/NG-2010-39'}",,NG-2010-39,Five Javanese Court Officials,True,,,False,False,,,[]
65,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/NG-2010-41', 'web': 'https://www.rijksmuseum.nl/en/collection/NG-2010-41'}",,NG-2010-41,Five Javanese Court Officials,True,,,False,False,,,[]
66,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-4981', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-4981'}",,SK-A-4981,"Adolf and Catharina Croeser, Known as ‘The Burgomaster of Delft and his Daughter’",True,,,False,False,,,[]
67,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-742', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-742'}",,SK-A-742,"View of Olinda, Brazil",True,,,False,False,,,[]
68,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-C-1672', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-C-1672'}",,SK-C-1672,Portrait of Alida Christina Assink,True,,,False,False,,,[]
69,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-3920', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-3920'}",,SK-A-3920,"Portrait of a Goldsmith, Probably Bartholomeus Jansz van Assendelft",True,,,False,False,,,[]
70,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-3988', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-3988'}",,SK-A-3988,"Still Life with Roemer, Flute Glass, Earthenware Jug and Pipes",True,,,False,False,,,[]
71,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-1510', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-1510'}",,SK-A-1510,"Hendrik Trip’s Cannon Foundry in Julitabruk, Sweden",True,,,False,False,,,[]
72,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-446', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-446'}",,SK-A-446,Stadtholder Prince Maurice Lying in State,True,,,False,False,,,[]
73,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-127', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-127'}",,SK-A-127,Dirck Volkertsz Coornhert (1522-90). Writer and Engraver,True,,,False,False,,,[]
74,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-3072', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-3072'}",,SK-A-3072,Woodland Pond at Sunset,True,,,False,False,,,[]
75,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-1163', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-1163'}",,SK-A-1163,Time,True,,,False,False,,,[]
76,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-257', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-257'}",,SK-A-257,"Portrait of Johan van Oldenbarnevelt, Advocate of the United-Provinces",True,,,False,False,,,[]
77,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-335', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-335'}",,SK-A-335,Still Life with Golden Goblet,True,,,False,False,,,[]
78,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-1902', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-1902'}",,SK-A-1902,‘Arrangement in Yellow and Gray’: Effie Deans,True,,,False,False,,,[]
79,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-653', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-653'}",,SK-A-653,"Portrait of Louis Napoleon, King of Holland",True,,,False,False,,,[]
80,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-348', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-348'}",,SK-A-348,Mountainous Landscape with Waterfall,True,,,False,False,,,[]
81,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-683', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-683'}",,SK-A-683,Roelof Meulenaer (1618/19-1691). Amsterdam Mercantile Courier or Postmaster on the Antwerp Route,True,,,False,False,,,[]
82,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-1786', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-1786'}",,SK-A-1786,Helena van der Schalcke,True,,,False,False,,,[]
83,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-1892', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-1892'}",,SK-A-1892,La Corniche near Monaco,True,,,False,False,,,[]
84,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-4081', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-4081'}",,SK-A-4081,Whirling Dervishes,True,,,False,False,,,[]
85,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-613', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-613'}",,SK-A-613,Consul Titus Manlius Torquatus Orders the Beheading of his Son,True,,,False,False,,,[]
86,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-C-248', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-C-248'}",,SK-C-248,Portrait of a Couple with Two Children and a Nurse in a Landscape,True,,,False,False,,,[]
87,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-2045', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-2045'}",,SK-A-2045,Albanian Soldier,True,,,False,False,,,[]
88,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-3944', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-3944'}",,SK-A-3944,Still Life,True,,,False,False,,,[]
89,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-4856', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-4856'}",,SK-A-4856,Warships in a Heavy Storm,True,,,False,False,,,[]
90,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-602', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-602'}",,SK-A-602,Battle between Dutch and Spanish Ships on the Haarlemmermeer,True,,,False,False,,,[]
91,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-34', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-34'}",,SK-A-34,"The Town Hall on Dam Square, Amsterdam",True,,,False,False,,,[]
92,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-3516', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-3516'}",,SK-A-3516,Portrait of Johannes Lutma,True,,,False,False,,,[]
93,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-2664', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-2664'}",,SK-A-2664,The Death of the Pharaoh’s Firstborn Son,True,,,False,False,,,[]
94,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-2362', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-2362'}",,SK-A-2362,Still Life with a Beer Glass and a Porcelain Dish with Pepper,True,,,False,False,,,[]
95,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-1595', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-1595'}",,SK-A-1595,The Love Letter,True,,,False,False,,,[]
96,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-443', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-443'}",,SK-A-443,The Hut,True,,,False,False,,,[]
97,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-1775', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-1775'}",,SK-A-1775,The Departure of a Dignitary from Middelburg,True,,,False,False,,,[]
98,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-2205', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-2205'}",,SK-A-2205,Vanitas Still Life,True,,,False,False,,,[]
99,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-2291', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-2291'}",,SK-A-2291,"The Trekvliet Shipping Canal near Rijswijk, known as the ‘View near the Geest Bridge’",True,,,False,False,,,[]
